,Age
9026,"Joel Ward 2008-2023 · DF,MF · Crystal Palace, Portsmouth, Bournemouth"
9027,Keaton Ward 2020-2022 · MF · Mansfield Town
9028,"Lewis Ward 2016-2023 · GK · Swindon Town, Exeter City, Forest Green Rovers"
9029,Luke Ward 2018-2019 · DF
9030,Mark Ward 1992-1994 · MF · Everton
9031,"Mitch Ward 1992-2004 · MF · Sheffield United, Barnsley, York City, Everton"
9032,"James Ward-Prowse 2012-2023 · MF · Southampton, England"
9033,Charlotte Wardlaw 2019-2021 · MF
9034,Louis Wardle 2016-2017 · DF
9035,"Stuart Wardley 2002-2005 · MF · Rushden & Diamonds, Torquay United, Leyton Orient, Cambridge United"
9036,"Jayden Wareham 2019-2023 · DF · Chelsea FC U21, Chelsea U23, Woking"
9037,"Paul Warhurst 1992-2008 · DF,MF · Blackburn Rovers, Sheffield Wednesday, Bolton Wanderers, Barnet, Crystal Palace, Wrexham, Grimsby To"
9038,"George Waring 2014-2018 · FW · Barnsley, Shrewsbury Town, Oxford United, FC Halifax Town, Carlisle United, Tranmere Rovers"
9039,"Paul Warne 2001-2012 · FW,MF · Rotherham United, Oldham Athletic, Yeovil Town, Mansfield Town"
9040,Steve Warne 2002-2003 · MF · Chesterfield
9041,"Jaden Warner 2020-2023 · DF · Norwich City FC U21, Norwich City U23"
9042,"Phil Warner 1997-2003 · DF · Cambridge United, Southampton"
9043,Scott Warner 2002-2006 · MF · Rochdale
9044,Vance Warner 1994-1997 · DF · Nottingham Forest
9045,"Stephen Warnock 2002-2018 · DF · Blackburn Rovers, Aston Villa, Leeds United, Wigan Athletic, Liverpool, Coventry City, Derby County,"
9046,Dan Warre 2019-2020 · FW
9047,Christer Warren 1995-2003 · MF · Southampton
9048,"Freddie Warren 2011-2014 · MF · Hayes & Yeading United, Barnet"
9049,"Gary Warren 2010-2021 · DF · Inverness CT, Newport County, Yeovil Town, Torquay United"
9050,"Mark Warren 2002-2004 · DF · Southend United, Colchester United"
9051,Mason Warren 2015-2017 · MF
9052,"Tyrell Warren 2016-2023 · DF · Barrow, FC Halifax Town, Manchester United U23"
9053,Danny Warrender 2005-2006 · DF · Blackpool
9054,"Andy Warrington 2003-2018 · GK · Rotherham United, Doncaster Rovers, Bury"
9055,"Lewis Warrington 2020-2023 · MF · Everton FC U21, Everton, Tranmere Rovers, Everton U23"
9056,Ethan Wassall 2016-2021 · DF · Derby County U23
9057,"Charlie Wassmer 2009-2019 · DF · Crawley Town, Hayes & Yeading United, Cambridge United, Maidstone United, Fleetwood Town"
9058,"Luke Waterfall 2008-2023 · DF,MF · Grimsby Town, Lincoln City, Shrewsbury Town, Macclesfield Town, Wrexham, Scunthorpe United, Mansfiel"
9059,Lewis Waterfield 2019-2020 · MF
9060,"Billy Waters 2013-2023 · FW,MF · Barrow, Cheltenham Town, FC Halifax Town, Northampton Town, Torquay United, Crewe Alexandra, Cambrid"
9061,Matthew Waters 2017-2018 · FW
9062,Nathan Waterston 2017-2019 · FW · Barrow
9063,Bradley Watkins 2015-2018 · GK
9064,Joe Watkins 2021-2022 · GK
9065,Kyle Watkins 2018-2019 · DF
9066,"Ollie Watkins 2014-2023 · FW,MF · Aston Villa, England, Brentford, Exeter City"
9067,"Duncan Watmore 2013-2023 · FW,MF · Middlesbrough, Sunderland, Hibernian, Sunderland U23"
9068,Alex Watson 2002-2003 · DF · Exeter City
9069,Andy Watson 2007-2008 · MF · Farsley Celtic
9070,"Ben Watson 2002-2022 · MF · Crystal Palace, Wigan Athletic, Nottingham Forest, Watford, Charlton Athletic, Queens Park Rangers,"
9071,"Ben Watson 2007-2011 · FW · Exeter City, Grays Athletic, Forest Green Rovers, Bath City"
9072,Dave Watson 1992-2000 · DF · Everton
9073,David Watson 1997-1998 · GK · Barnsley
9074,Declan Watson 2014-2015 · MF
9075,"Gordon Watson 1992-2003 · FW · Sheffield Wednesday, Southampton, Hartlepool United"
9076,Ian Watson 2016-2017 · DF
9077,"Kevin Watson 1992-2009 · MF · Colchester United, Reading, Rotherham United, Luton Town, Tottenham Hotspur"
9078,Niall Watson 2017-2019 · MF
9079,"Noah Watson 2020-2023 · DF · Crystal Palace FC U21, Crystal Palace U23"
9080,"Paul Watson 2002-2008 · DF · Brighton & Hove Albion, Rushden & Diamonds, Crawley Town, Coventry City"
9081,"Rory Watson 2014-2023 · GK · Wrexham, Scunthorpe United, North Ferriby United"
9082,"Ryan Watson 2014-2023 · DF,MF · Salford City FC, Northampton Town, Barnet, Milton Keynes Dons, Tranmere Rovers"
9083,"Steve Watson 1993-2009 · DF,MF · Newcastle United, Everton, Sheffield Wednesday, Aston Villa, West Bromwich Albion"
9084,"Tennai Watson 2015-2022 · DF,MF · Reading U23, Milton Keynes Dons, AFC Wimbledon, Reading, Coventry City"
9085,Tom Watson 2021-2022 · FW
9086,Willie Watson 1950 · MF
9087,Benjamin Watt 2021-2023 · DF · Norwich City FC U21
9088,"Jerome Watt 2004-2007 · MF · Northampton Town, Morecambe"
9089,Olivia Watt 2017-2018 · MF
9090,Phil Watt 2007-2008 · DF
9091,"Sanchez Watt 2009-2017 · FW,MF · Colchester United, Leeds United, Crawley Town, Kerala Blasters, Sheffield Wednesday, Southend United"
9092,"Max Watters 2019-2023 · FW · Cardiff City, Crawley Town, Milton Keynes Dons, Doncaster Rovers"
9093,"Adam Watts 2006-2012 · DF · Lincoln City, Northampton Town"
9094,Grant Watts 1992-1993 · FW · Crystal Palace
9095,"Julian Watts 1992-1998 · DF · Leicester City, Sheffield Wednesday"
9096,"Kelland Watts 2018-2022 · DF · Plymouth Argyle, Wigan Athletic, Newcastle United U23, Stevenage, Mansfield Town"
9097,Louis Watts 2020-2021 · MF · Sunderland U23
9098,"Ryan Watts 2004-2013 · DF,MF · Braintree Town"
9099,"Steve Watts 2002-2003 · DF,FW · Shrewsbury Town, Leyton Orient, Lincoln City"
9100,"Darren Way 2003-2009 · MF · Yeovil Town, Swansea City"
9101,"Chris Weale 2003-2019 · GK · Yeovil Town, Shrewsbury Town, Leicester City, Bristol City, Northampton Town"
9102,Arran Wearmouth 2014-2015 · MF
9103,"Stephen Wearne 2017-2023 · MF · Grimsby Town, Sunderland U23, Middlesbrough U23, Torquay United"
9104,Jack Weatherell 2016-2017 · MF
9105,Peter Weatherson 2007-2013 · FW · Greenock Morton
9106,Ross Weatherstone 2002-2003 · DF · Boston United
9107,"Simon Weatherstone 2002-2011 · MF · Weymouth, Eastbourne Borough, Boston United, Crawley Town, Yeovil Town"
9108,Jake Weaver 2018-2019 · GK
9109,"Nicky Weaver 2000-2014 · GK · Manchester City, Charlton Athletic, Sheffield Wednesday, Dundee United"
9110,Pat Weaver 2014-2015 · GK
9111,"Simon Weaver 2002-2007 · DF · Lincoln City, Tamworth, Kidderminster Harriers, Macclesfield Town"
9112,Bradley Webb 2020-2022 · MF · Aldershot Town
9113,Dan Webb 2018-2019 · DF
9114,"Daniel Webb 2002-2011 · DF · Salisbury City, Cambridge United, Bath City, Hull City, Woking, Yeovil Town, Lincoln City, Brighton"
9115,David Webb 2019-2020 · DF
9116,George Webb 2008-2010 · MF
9117,Josh Webb 2016-2017 · DF
9118,Josh Webb 2016-2019 · DF
9119,Joshua Webb 2016-2017 · MF
9120,Luke Webb 2006-2008 · MF · Hereford United
9121,Nathan Webb 2017-2018 · MF
9122,"Neil Webb 1990-1993 · DF,MF · Nottingham Forest, Manchester United"
9123,"Reece Webb-Foster 2014-2017 · FW · Guiseley, Bradford City"
9124,"Danny Webber 2001-2016 · FW · Sheffield United, Watford, Portsmouth, Accrington Stanley, Leeds United, Salford City FC"
9125,Patrick Webber 2016-2021 · DF · Braintree Town
9126,Aaron Webster 2006-2013 · DF · Burton Albion
9127,"Adam Webster 2011-2023 · DF · Brighton & Hove Albion, Portsmouth, Ipswich Town, Bristol City, Aldershot Town"
9128,Ben Webster 2009 · MF · MYPA
9129,"Byron Webster 2006-2023 · DF,MF · Bromley, Millwall, Yeovil Town, Carlisle United, Northampton Town, Doncaster Rovers, Scunthorpe Unit"
9130,"Charlie Webster 2020-2023 · MF · Chelsea FC U21, Chelsea U23"
9131,Keaton Webster 2017-2018 · DF
9132,"Nat Wedderburn 2008-2018 · MF · Cowdenbeath, Dunfermline Athletic, Northampton Town, Inverness CT, Notts County, Hereford United"
9133,"Sam Wedgbury 2008-2020 · DF,MF · Macclesfield Town, Forest Green Rovers, Wrexham, Chesterfield, Stevenage, Altrincham, Ferencváros"
9134,Joe Weight 2019-2020
9135,"James Weir 2015-2022 · MF · MTK Budapest, Bolton Wanderers, Hull City, Wigan Athletic, Manchester United U23"
9136,"Tyler Weir 2009-2016 · MF · Hereford United, Worcester City FC"
9137,Mitchell Weiss 2021-2022 · FW
9138,"Danny Welbeck 2008-2023 · FW,MF · Brighton & Hove Albion, Arsenal, Manchester United, England, Sunderland, Watford, Preston North End"
9139,Jarrad Welch 2018-2019 · FW
9140,Jay Welch 2014-2015 · MF
9141,Joe Welch 2015-2016 · GK
9142,"Keith Welch 2002-2003 · GK · Mansfield Town, Torquay United"
9143,"Michael Welch 2002-2011 · DF · Macclesfield Town, Northwich Victoria, Altrincham, Accrington Stanley"
9144,"Reece Welch 2020-2023 · DF · Everton FC U21, Everton, Everton U23"
9145,"Miles Welch-Hayes 2016-2023 · DF · Harrogate Town FC, Macclesfield Town, Colchester United"
9146,"Ricky Wellard 2009-2019 · MF · AFC Wimbledon, Salisbury City, Welling United, Cambridge United"
9147,"Charlie Wellens 2019-2023 · DF · Manchester United FC U21, Manchester United U23"
9148,"Richie Wellens 2002-2017 · MF · Doncaster Rovers, Leicester City, Blackpool, Oldham Athletic, Shrewsbury Town, Ipswich Town"
9149,"Paul Weller 2001-2005 · MF · Burnley, Rochdale"
9150,"Charlie Wellings 2017-2021 · FW,MF · Birmingham City, Bristol City"
9151,"Ben Wells 2017-2023 · DF · Crawley Town, West Ham United U23"
9152,Ben Wells 2004-2007 · MF
9153,Bradley Wells 2017-2018 · FW
9154,"Dean Wells 2014-2018 · MF · Boreham Wood, Stevenage"
9155,"George Wells 2017-2022 · DF · Maidenhead United, Slough Town FC"
9156,Josh Wells 2020-2022 · DF · Middlesbrough U23
9157,Louis Wells 2018-2019 · GK
9158,William Wells 2016-2019 · DF
9159,"Jack Wells-Morrison 2020-2023 · MF · Crystal Palace FC U21, Crystal Palace, Crystal Palace U23"
9160,"Andy Welsh 2001-2014 · DF,MF · Yeovil Town, Stockport County, Carlisle United, Blackpool, Sunderland, Toronto FC, Leicester City, M"
9161,"Ishmael Welsh 2006-2010 · MF · Grays Athletic, Ebbsfleet United, Yeovil Town, Torquay United, Forest Green Rovers, Weymouth"
9162,"John Welsh 2003-2019 · MF · Preston North End, Tranmere Rovers, Hull City, Grimsby Town, Chester City, Liverpool, Bury, Carlisle"
9163,Amy West 2020-2021 · MF · Aston Villa LFC
9164,George West 2016-2017 · FW
9165,"Michael West 2008-2022 · MF · Ebbsfleet United, Crewe Alexandra, Hereford United"
9166,Mike West 2016-2017 · MF
9167,"Zain Westbrooke 2016-2023 · MF · Bristol Rovers, Coventry City, Stevenage, Leyton Orient"
9168,"Craig Westcarr 2001-2017 · FW,MF · Notts County, Walsall, Chesterfield, Kettering Town, Portsmouth, Mansfield Town, Nottingham Forest,"
9169,"Darryl Westlake 2009-2017 · DF · Walsall, Kilmarnock, Mansfield Town, Sheffield United, Stourbridge FC"
9170,"Ian Westlake 2002-2011 · MF · Ipswich Town, Leeds United, Cheltenham Town, Montreal Impact, Brighton & Hove Albion, Wycombe Wander"
9171,Sam Westley 2015-2016 · DF
9172,"Charlie Weston 2020-2023 · MF · Blackburn Rovers FC U21, Blackburn Rovers U23"
9173,Chelsea Weston 2020-2021 · DF · Pink Bari
9174,"Curtis Weston 2003-2022 · DF,MF · Barnet, Chesterfield, Gillingham, Swindon Town, Leeds United, Scunthorpe United, Millwall"
9175,Tony Weston 2019-2023 · FW · Partick Thistle
9176,"Ashley Westwood 2008-2022 · MF · Burnley, Aston Villa, Crewe Alexandra"
9177,"Chris Westwood 2002-2014 · DF · Hartlepool United, Walsall, Wycombe Wanderers, Peterborough United, Wrexham, Alfreton Town, Cheltenh"
9178,"Emily Westwood 2005-2018 · MF · Birmingham City, England"
9179,"David Wetherall 1992-2008 · DF · Bradford City, Leeds United"
9180,Sean Whaler 2017-2019 · MF
9181,"Simon Whaley 2002-2011 · MF · Preston North End, Bury, Rochdale, Chesterfield, Bradford City, Barnsley, Burton Albion, Norwich Cit"
9182,"Gareth Whalley 1999-2008 · MF · Bradford City, Cardiff City, Swindon Town, Altrincham, Wigan Athletic, Crewe Alexandra"
9183,"Shaun Whalley 2004-2023 · FW,MF · Accrington Stanley, Shrewsbury Town, Southport, Luton Town, Wrexham, Chester City"
9184,"Adam Wharton 2020-2023 · DF · Blackburn Rovers, Blackburn Rovers FC U21, Blackburn Rovers U23"
9185,Ben Wharton 2007-2015 · FW
9186,Dylan Wharton 2019-2022 · GK
9187,Patrick Wharton 2016-2019 · GK
9188,"Scott Wharton 2016-2023 · DF · Blackburn Rovers, Northampton Town, Lincoln City, Bury, Blackburn Rovers U23, Cambridge United"
9189,"Jack Whatmough 2013-2023 · DF · Wigan Athletic, Portsmouth"
9190,Paul Wheatcroft 2002-2003 · FW · Scunthorpe United
9191,"David Wheater 2004-2020 · DF · Bolton Wanderers, Middlesbrough, Oldham Athletic, Darlington, Doncaster Rovers"
9192,Josef Wheatley 2019-2021 · MF · Darlington
9193,"David Wheeler 2008-2023 · FW,MF · Wycombe Wanderers, Exeter City, Milton Keynes Dons, Lewes, Portsmouth, Queens Park Rangers"
9194,Nick Wheeler 2017-2023 · MF · Dorking Wanderers FC
9195,"Aileen Whelan 2018-2022 · FW,MF · Brighton & Hove Albion"
9196,"Callum Whelan 2016-2023 · MF · Solihull Moors, Oldham Athletic, Manchester United U23"
9197,Fern Whelan 2018-2020 · DF · Brighton & Hove Albion
9198,Frankie Whelan 2021-2023 · DF · Middlesbrough FC U21
9199,"Noel Whelan 1992-2010 · FW · Coventry City, Middlesbrough, Leeds United, Aberdeen, Boston United, Millwall, Livingston, Derby Cou"
9200,"Phil Whelan 1992-2003 · DF · Ipswich Town, Middlesbrough, Southend United"
9201,"Tom Whelan 2019-2023 · MF · Chesterfield, Eastleigh, Yeovil Town, Weymouth"
9202,"Chris Whelpdale 2007-2021 · MF · Peterborough United, Gillingham, Stevenage, AFC Wimbledon"
9203,"Andrew Whing 2002-2015 · DF,MF · Coventry City, Oxford United, Brighton & Hove Albion, Leyton Orient, Chesterfield"
9204,Lucy Whipp 2019-2022 · MF · Birmingham City
9205,Peter Whiston 1994-1995 · DF
9206,"Charlie Whitaker 2020-2023 · MF · Everton FC U21, Everton U23"
9207,"Danny Whitaker 2002-2019 · MF · Macclesfield Town, Chesterfield, Port Vale, Oldham Athletic"
9208,"Adrian Whitbread 1993-2003 · DF · Swindon Town, West Ham United, Exeter City"
9209,"Aidy White 2008-2023 · DF,MF · Rochdale, Leeds United, Barnsley, Heart of Midlothian, Oldham Athletic, Rotherham United, Sheffield"
9210,Aksum White 2018-2021 · MF · West Bromwich Albion U23
9211,"Alan White 2002-2011 · DF · Darlington, Colchester United, Boston United, Notts County, Leyton Orient, Luton Town, Peterborough"
9212,"Andy White 2002-2022 · FW · Mansfield Town, Kidderminster Harriers, Altrincham, Notts County, Crewe Alexandra, Stafford Rangers,"
9213,Andy White 2010-2011 · FW
9214,"Ben White 2016-2023 · DF · Arsenal, England, Leeds United, Newport County, Brighton & Hove Albion, Peterborough United, Brighto"
9215,"David White 1992-1996 · FW,MF · Manchester City, Leeds United"
9216,Devon White 1992-1995 · FW · Queens Park Rangers
9217,"Ellen White 2011-2023 · FW · England, Manchester City, Birmingham City, Great Britain"
9218,Faye White 2001-2011 · DF · England
9219,"Harry White 2015-2018 · FW · Solihull Moors, Chester, Boreham Wood, Kidderminster Harriers"
9220,"Harvey White 2018-2022 · MF · Tottenham Hotspur U23, Portsmouth"
9221,Harvey White 2020-2021 · GK
9222,"Hayden White 2013-2023 · DF,MF · Walsall, Mansfield Town, Blackpool, Carlisle United, Peterborough United, Bolton Wanderers, Notts Co"
9223,James White 2014-2022 · MF
9224,"Jamie White 2008-2015 · FW · Salisbury City, Bristol Rovers, Shrewsbury Town, Southampton"
9225,Jason White 2002-2009 · GK · Mansfield Town
9226,"Joe White 2016-2018 · MF · Dagenham & Redbridge, Stevenage"
9227,"Joe White 2019-2022 · MF · Newcastle United U23, Hartlepool United"
9228,Joe White 2019-2021 · DF · Bolton Wanderers
9229,"John White 2004-2022 · DF · Southend United, Colchester United, Stevenage Borough"
9230,Lewis White 2018-2019 · MF
9231,Ryan White 2017-2018 · MF
9232,Shane White 2016-2017 · DF
9233,Steve White 1993-1994 · FW · Swindon Town
9234,"Tom White 2003-2023 · DF,MF · Barrow, Gateshead, Bolton Wanderers, Hartlepool United, Blackburn Rovers U23"
9235,"Danny Whitehall 2019-2023 · FW · Eastleigh, Maidenhead United, Kilmarnock"
9236,Isaac Whitehall 2018-2021 · DF · Blackburn Rovers U23
9237,"Danny Whitehead 2011-2022 · MF · Macclesfield Town, Stockport County, Salford City, Port Vale, Altrincham, Cheltenham Town"
9238,"Dean Whitehead 2002-2018 · DF,MF · Sunderland, Stoke City, Huddersfield Town, Oxford United, Middlesbrough"
9239,Phil Whitehead 2002-2003 · GK · Reading
9240,"Stuart Whitehead 2002-2012 · DF · Shrewsbury Town, Kidderminster Harriers, Darlington, Telford United, Carlisle United"
9241,Billy Whitehouse 2014-2018 · MF · Doncaster Rovers
9242,Dane Whitehouse 1992-1994 · MF · Sheffield United
9243,"Elliott Whitehouse 2012-2023 · MF · Scunthorpe United, Lincoln City, Grimsby Town, Forest Green Rovers, York City, Notts County, Nuneato"
9244,"Alfie Whiteman 2016-2022 · GK · Degerfors, Tottenham Hotspur U23, England"
9245,"Ben Whiteman 2014-2023 · MF · Preston North End, Doncaster Rovers, Mansfield Town, Sheffield United"
9246,"Ben Whitfield 2015-2023 · FW,MF · Barrow, Port Vale, Torquay United, Yeovil Town, Kidderminster Harriers, Stockport County"
9247,Dale Whitham 2018-2019 · MF
9248,"Corey Whitley 2016-2023 · DF,FW · Bromley, Ebbsfleet United, Boreham Wood, Newport County"
9249,Ryan Whitley 2018-2023 · GK · York City
9250,"Mike Whitlow 1994-2005 · DF · Bolton Wanderers, Leicester City, Notts County, Sheffield United"
9251,"Alex Whitmore 2015-2021 · DF,MF · Morecambe, Fylde, Grimsby Town, Gateshead, Chesterfield, Bury, Chester"
9252,"Morgan Whittaker 2017-2023 · MF · Plymouth Argyle, Derby County, Swansea City, Lincoln City, Derby County U23"
9253,Tarrelle Whittaker 2020-2021 · FW
9254,Sam Whittall 2014-2016 · MF
9255,Alfy Whittingham 2019-2022 · MF · Aldershot Town
9256,"Guy Whittingham 1993-1999 · FW · Sheffield Wednesday, Aston Villa"
9257,Matthew Whittingham 2021-2022 · MF
9258,"Peter Whittingham 2002-2019 · MF · Cardiff City, Aston Villa, Blackburn Rovers, Derby County, Burnley"
9259,Joe Whittington 2016-2017 · MF
9260,"Alex Whittle 2012-2023 · DF,MF · York City, Chesterfield, Dunfermline Athletic, Southport, Boston United"
9261,Billy Whittle 2016-2017 · MF
9262,"Justin Whittle 2002-2008 · DF · Grimsby Town, Hull City"
9263,Steve Whitton 1992-1994 · FW · Ipswich Town
9264,Harry Whitwell 2022-2023 · MF · West Bromwich Albion FC U21
9265,"Joseph Whitworth 2020-2023 · GK · Crystal Palace, Crystal Palace U23"
9266,Neil Whitworth 2002-2003 · DF · Exeter City
9267,Jake Wholey 2010-2013 · DF
9268,Chris Whyte 1992-1996 · DF · Leeds United
9269,Harvey Whyte 2017-2018 · DF
9270,"George Wickens 2017-2023 · GK · Fulham FC U21, Wealdstone FC, Fulham U23"
9271,"Connor Wickham 2008-2023 · FW,MF · Forest Green Rovers, Sunderland, Ipswich Town, Crystal Palace, Sheffield Wednesday, Milton Keynes Do"
9272,"Joe Widdowson 2007-2022 · DF · Leyton Orient, Dagenham & Redbridge, Rochdale, Northampton Town, Grimsby Town, Barnet, Morecambe, Ro"
9273,Theo Widdrington 2017-2022 · MF · King's Lynn Town FC
9274,"Tommy Widdrington 1992-2010 · MF · Southampton, Macclesfield Town, Hartlepool United, Port Vale, Salisbury City"
9275,"Charlie Wiggett 2021-2023 · DF · Newcastle United FC U21, Newcastle United U23"
9276,"Aaron Wilbraham 2000-2020 · FW · Milton Keynes Dons, Bristol City, Stockport County, Rochdale, Bolton Wanderers, Crystal Palace, Norw"
9277,"Jason Wilcox 1992-2006 · FW,MF · Blackburn Rovers, Leeds United, Blackpool, Leicester City"
9278,Jimmy Wild 2019-2020 · FW
9279,Adam Wilde 2006-2015 · MF · St Albans City
9280,Josh Wilde 2016-2019 · DF · FC Halifax Town
9281,Craig Wilding 2002-2003 · FW · York City
9282,"Peter Wilding 2001-2003 · MF · Shrewsbury Town, Stockport County"
9283,"Samuel Wilding 2017-2022 · MF · Sunderland U23, West Bromwich Albion U23"
9284,Daniel Wilds 2021-2022 · MF
9285,"Joe Wildsmith 2013-2023 · GK · Derby County, Sheffield Wednesday"
9286,Ben Wiles 2017-2023 · MF · Rotherham United
9287,"Simon Wiles 2003-2011 · MF · Blackpool, Barrow, Macclesfield Town, Dunfermline Athletic"
9288,Harvey Wiles-Richards 2020-2022 · DF
9289,"Aron Wilford 2003-2004 · DF,FW · York City, Lincoln City"
9290,"Ray Wilkins 1982-1996 · MF · Queens Park Rangers, England"
9291,"Andy Wilkinson 2003-2015 · DF · Stoke City, Millwall, Shrewsbury Town, Blackpool"
9292,"Ben Wilkinson 2007-2011 · MF · Tamworth, York City, Gretna, Altrincham"
9293,Greg Wilkinson 2014-2017 · MF
9294,Jack Wilkinson 2003-2005 · FW · Hartlepool United
9295,Joe Wilkinson 2014-2015 · DF
9296,"Luke Wilkinson 2012-2023 · DF,MF · Woking, Stevenage, Yeovil Town, Luton Town, Dagenham & Redbridge"
9297,"Paul Wilkinson 1992-1998 · FW · Middlesbrough, Barnsley"
9298,"Shaun Wilkinson 2002-2009 · MF · Weymouth, Brighton & Hove Albion"
9299,"Wes Wilkinson 2003-2005 · FW,MF · Oldham Athletic"
9300,Daniel Wilks 2014-2016 · GK
9301,"Mallik Wilks 2016-2023 · FW,MF · Hull City, Doncaster Rovers, Accrington Stanley, Barnsley, Grimsby Town"
9302,Harley Willard 2016-2018 · MF · Southampton U23
9303,Tommy Willard 2021-2023 · FW · Aldershot Town
9304,"Aaron Williams 2012-2019 · FW · Harrogate, Newport County, Peterborough United, Telford United, Walsall"
9305,Alfie Williams 2020-2022 · MF
9306,"Andy Williams 2006-2023 · FW,MF · Walsall, Doncaster Rovers, Swindon Town, Bristol Rovers, Yeovil Town, Northampton Town, Cheltenham T"
9307,Barney Williams 2015-2017 · DF
9308,Ben Williams 2016-2019 · GK
9309,"Ben Williams 2002-2019 · GK · Crewe Alexandra, Colchester United, Bradford City, Hibernian, Carlisle United, Bury, Chesterfield, B"
9310,Bert Williams 1950 · GK · England
9311,Bradley Williams 2021-2022 · MF
9312,"Brandon Williams 2018-2022 · DF · Manchester United, Norwich City, Manchester United U23"
9313,Brett Williams 1992-1993 · DF · Nottingham Forest
9314,"Brett Williams 2011-2019 · FW · Aldershot Town, Torquay United, Bromley, Woking, Forest Green Rovers, Sutton United, Northampton Tow"
9315,Callum Williams 2015-2018 · DF · Newcastle United U23
9316,Callum Williams 2015-2016 · GK
9317,Callum Williams 2018-2020 · MF
9318,Cameron Williams 2018-2019 · MF
9319,"Chris Williams 2001-2008 · FW,MF · Stockport County, Northwich Victoria, Grimsby Town"
9320,"Curtley Williams 2014-2017 · DF · Dagenham & Redbridge, Luton Town"
9321,"Dan Williams 2018-2023 · MF · Swansea City, Swansea City U23"
9322,"Danny Williams 2013-2021 · DF,MF · Inverness CT, FC Halifax Town, Dundee, Fylde"
9323,"Danny Williams 2006-2012 · MF · Northwich Victoria, Forest Green Rovers, Rushden & Diamonds, Hereford United"
9324,"Darren Williams 1996-2010 · DF · Sunderland, Hartlepool United, Bradford City, Cardiff City, Dundee, Gateshead"
9325,Dean Williams 2006-2007 · GK · Stafford Rangers
9326,"Dylan Williams 2020-2023 · DF · Chelsea FC U21, Derby County U23, Chelsea U23, Derby County"
9327,Dylan Williams 2015-2016 · MF
9328,Ed Williams 2020-2022 · MF · Doncaster Rovers
9329,"Fara Williams 2005-2021 · FW,MF · Reading, England, Arsenal, Great Britain"
9330,"George Williams 2014-2023 · DF,MF · Cambridge United, Milton Keynes Dons, Bristol Rovers, Barnsley, Barrow, Worcester City FC"
9331,"Harry Williams 2019-2022 · DF · Burnley FC U23, West Bromwich Albion U23"
9332,"Harry Williams 2014-2017 · FW,MF · Sacramento Republic, Cheltenham Town"
9333,Jack Williams 2018-2019 · FW
9334,Jack Williams 2017-2022 · DF
9335,"Jaden Williams 2021-2023 · FW · Tottenham Hotspur FC U21, Tottenham Hotspur U23"
9336,"Jason Williams 2013-2017 · FW · Southend United, Boreham Wood, Welling United"
9337,"Jay Williams 2018-2021 · DF · Northampton Town, Harrogate Town FC"
9338,Jimmy Williams 2007-2008 · DF
9339,"Joe Williams 2014-2023 · MF · Bristol City, Wigan Athletic, Barnsley, Bolton Wanderers, Everton U23"
9340,"John Williams 1992-2004 · FW · Coventry City, Kidderminster Harriers, Swansea City"
9341,"Jordan Williams 2017-2023 · DF,MF · Barnsley, Bury"
9342,Jordan Williams 2019-2022 · DF
9343,"Jordan Williams 2015-2021 · FW,MF · Barrow, Fylde, Rochdale, Stockport County, Lincoln City, Northwich Victoria"
9344,"Josh Williams 2021-2023 · MF · Birmingham City, Birmingham City FC U23"
9345,Lance Williams 2015-2016 · FW
9346,Lee Williams 2002-2003 · MF · Cheltenham Town
9347,Liam Williams 2015-2016 · DF
9348,"Luke Williams 2011-2019 · FW,GK · Charlotte Eagles"
9349,"Luke Williams 2009-2022 · FW · Scunthorpe United, Middlesbrough, Hartlepool United, Northampton Town, Coventry City"
9350,Manny Williams 2014-2019 · FW · Slough Town FC
9351,"Marcus Williams 2003-2018 · DF · Scunthorpe United, Sheffield United, Guiseley, Kerala Blasters, Peterborough United"
9352,"Marvin Williams 2005-2011 · FW,MF · Millwall, Brentford, Yeovil Town, Torquay United"
9353,Mathew Williams 2015-2016 · DF
9354,Matty Williams 2018-2019 · DF
9355,Michael Williams 2021-2023 · DF · Crewe Alexandra
9356,Mike Williams 1992-1997 · FW · Sheffield Wednesday
9357,Morgan Williams 2018-2023 · DF · Yeovil Town
9358,Paige Williams 2016-2019 · DF · Birmingham City
9359,Paul Williams 1993-1995 · DF · Coventry City
9360,Paul Williams 1992-1995 · FW · Crystal Palace
9361,"Paul Williams 1995-2005 · DF · Coventry City, Southampton, Stoke City, Richmond Kickers"
9362,"Rachel Williams 2012-2022 · DF,FW · Tottenham Hotspur LFC, Birmingham City"
9363,"Randell Williams 2017-2023 · MF · Hull City, Exeter City, Wycombe Wanderers"
9364,"Rhys Williams 2018-2023 · DF · Blackpool, Liverpool, Liverpool U23, Swansea City"
9365,"Ro-Shaun Williams 2015-2023 · DF · Doncaster Rovers, Shrewsbury Town, Manchester United U23, England"
9366,"Robbie Williams 2006-2011 · DF · Accrington Stanley, Southport"
9367,"Robbie Williams 2002-2013 · DF · Huddersfield Town, Barnsley, Plymouth Argyle, Stockport County, Rochdale, Blackpool"
9368,Rory Williams 2014-2019 · DF · Havant & Water
9369,"Ryan Williams 2002-2011 · MF · Mansfield Town, Aldershot Town, Bristol Rovers, Weymouth, Hull City"
9370,"Ryan Williams 2012-2022 · MF · AFC Eskilstuna, Morecambe, Ottawa Fury, Hartford Athletic, Inverness CT"
